,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,3255,32,33,1,7,37,17,5,2,48,21,3,41,26,2,20,77,30,28,0,0,0,0
1,607,6,1,7,10,14,8,2,43,42,3,47,15,4,18,20,77,8,28,0,0,0,0
2,722,6,1,7,10,17,31,12,48,21,131,53,41,15,19,12,4,9,16,5,36,27,0
3,2684,6,1,7,34,14,8,2,119,95,185,68,9,2,4,8,2,73,9,25,0,0,0
4,20,66,57,56,49,4,18,89,3,23,4,18,13,5,11,38,5,25,0,0,0,0,0
5,202,32,33,1,7,34,14,35,2,59,55,3,23,41,35,2,20,77,9,28,0,0,0
6,448,6,57,7,37,17,38,2,48,21,23,29,38,2,13,5,11,79,9,27,0,0,0
7,422,32,33,1,7,34,14,4,18,114,3,122,15,4,18,30,16,19,12,35,36,25,0
8,804,6,93,7,10,14,8,16,48,21,3,41,15,4,44,9,19,16,38,5,27,0,0
9,1190,6,1,7,34,14,26,2,23,143,141,43,42,41,23,26,2,13,5,11,31,30,28
10,364,6,1,22,10,14,9,12,332,47,3,47,9,12,13,5,11,62,8,54,0,0,0
11,1420,32,33,1,7,37,17,35,12,386,393,3,29,35,12,13,5,11,70,36,27,0,0
12,706,6,1,7,10,14,4,18,43,42,3,15,41,4,18,9,19,16,61,40,25,0,0
13,1733,6,1,7,10,17,38,2,121,116,3,23,15,38,2,4,9,16,79,9,28,0,0
14,20,6,1,7,10,14,26,2,193,97,3,23,26,2,13,5,11,40,19,28,0,0,0
15,1052,6,1,22,10,14,9,12,24,21,3,23,19,12,30,16,19,12,35,40,25,0,0
16,20,6,1,7,10,14,8,12,46,45,3,15,9,12,4,9,16,79,19,28,0,0,0
17,1203,1203,6,1,7,34,14,26,2,86,97,3,15,26,2,13,5,11,83,35,25,0,0
18,1762,6,1,22,10,14,8,12,24,21,47,15,8,12,13,5,11,26,35,25,0,0,0
19,20,6,57,7,10,14,31,2,59,55,3,29,23,31,2,13,5,11,40,38,28,0,0
20,706,32,33,1,7,34,14,8,2,46,45,120,127,23,15,8,2,9,19,16,5,5,25
21,3329,6,1,7,10,14,9,2,115,3,23,15,9,2,13,5,11,83,19,27,0,0,0
22,557,6,1,22,10,14,4,44,24,21,3,23,15,8,12,4,9,16,74,40,27,0,0
23,234,6,1,7,10,17,9,2,104,3,68,9,2,4,9,16,30,30,27,0,0,0,0
